City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Khatanga,RU,2023-01-28 22:24:24,71.9667,102.5,-32.08,96,21,6.8
180,Presidente Medici,BR,2023-01-28 22:27:57,-11.1753,-61.9014,74.12,97,100,3.96
181,Xichang,CN,2023-01-28 22:24:18,27.8964,102.2634,35.92,78,49,2.73
182,Sangar,RU,2023-01-28 22:27:57,63.9242,127.4739,-50.12,98,90,1.52
183,Aberdeen,GB,2023-01-28 22:24:41,57.1437,-2.0981,36.66,86,88,3.44
184,Kamaishi,JP,2023-01-28 22:27:57,39.2667,141.8833,24.06,65,45,16.35
185,Vestmanna,FO,2023-01-28 22:27:58,62.1564,-7.1664,45.52,93,100,11.5
186,Cidreira,BR,2023-01-28 22:27:58,-30.1811,-50.2056,77.61,83,97,10.13
187,San Javier,ES,2023-01-28 22:27:58,37.8063,-0.8374,47.12,73,100,4.0
188,Stornoway,GB,2023-01-28 22:27:58,58.2093,-6.3865,44.56,88,75,13.8
189,Port Blair,IN,2023-01-28 22:27:59,11.6667,92.75,80.64,74,40,6.91
190,Talnakh,RU,2023-01-28 22:27:59,69.4865,88.3972,-4.14,99,98,5.35
191,Vardo,NO,2023-01-28 22:27:59,70.3705,31.1107,31.08,82,83,9.62
192,Sao Filipe,CV,2023-01-28 22:28:00,14.8961,-24.4956,74.39,70,69,13.2
193,Puerto Ayora,EC,2023-01-28 22:28:00,-0.7393,-90.3518,82.36,92,87,5.01
194,Ginda,IN,2023-01-28 22:28:00,30.6945,78.4932,43.63,19,44,9.53
195,Chokurdakh,RU,2023-01-28 22:27:41,70.6333,147.9167,-37.16,100,83,2.3
196,Surt,LY,2023-01-28 22:28:01,31.2089,16.5887,56.61,32,0,5.37
197,Andilamena,MG,2023-01-28 22:28:01,-17.0167,48.5833,66.06,99,82,4.94
198,Lata,PT,2023-01-28 22:28:02,40.1629,-8.3327,41.92,79,1,4.21
199,Babaeski,TR,2023-01-28 22:28:03,41.4325,27.0931,34.47,78,96,3.83
200,Peski,RU,2023-01-28 22:28:04,55.2163,38.7626,22.78,97,100,5.06
201,Laguna Beach,US,2023-01-28 22:28:05,33.5423,-117.7831,67.24,66,40,10.36
202,Angoche,MZ,2023-01-28 22:28:06,-16.2325,39.9086,78.57,86,80,5.91
203,Severo-Kurilsk,RU,2023-01-28 22:28:06,50.6789,156.125,25.0,79,100,15.05
204,Natal,BR,2023-01-28 22:25:52,-5.795,-35.2094,79.45,73,20,11.5
205,Martapura,ID,2023-01-28 22:28:07,-3.4167,114.85,73.49,100,100,5.75
206,North Bend,US,2023-01-28 22:28:08,43.4065,-124.2243,48.16,92,100,5.75
207,San Policarpo,PH,2023-01-28 22:27:51,12.1791,125.5072,78.24,85,54,17.29
208,Mareeba,AU,2023-01-28 22:28:09,-17.0,145.4333,78.44,88,38,4.05
209,Qaanaaq,GL,2023-01-28 22:28:09,77.484,-69.3632,-4.67,53,14,9.31
210,Dunedin,NZ,2023-01-28 22:28:13,-45.8742,170.5036,67.8,64,5,4.0
211,Coquimbo,CL,2023-01-28 22:28:13,-29.9533,-71.3436,67.73,72,0,10.36
212,Cabo San Lucas,MX,2023-01-28 22:27:03,22.8909,-109.9124,74.52,62,100,12.66
213,Mayumba,GA,2023-01-28 22:28:15,-3.432,10.6554,76.96,83,21,4.09
214,Ouadda,CF,2023-01-28 22:28:16,8.0777,22.4007,71.51,20,9,4.59
215,Kedrovyy,RU,2023-01-28 22:28:17,56.1667,91.8167,23.41,94,100,10.83
216,Eyl,SO,2023-01-28 22:28:17,7.9803,49.8164,74.28,73,44,18.97
217,Thompson,CA,2023-01-28 22:28:18,55.7435,-97.8558,-12.84,64,75,13.8
218,Sioux Lookout,CA,2023-01-28 22:28:18,50.1001,-91.917,-5.73,65,75,10.36
219,Popondetta,PG,2023-01-28 22:28:19,-8.7537,148.2534,81.93,70,61,1.07
220,Namibe,AO,2023-01-28 22:28:20,-15.1961,12.1522,74.71,83,100,8.39
221,Cabra,ES,2023-01-28 22:28:20,37.4725,-4.4421,42.66,52,0,3.83
222,Ferrol,ES,2023-01-28 22:28:21,43.4832,-8.2369,48.27,76,92,16.02
223,Lebu,CL,2023-01-28 22:28:22,-37.6167,-73.65,63.07,76,0,21.7
224,Galesong,ID,2023-01-28 22:28:23,-5.3166,119.3661,75.22,87,93,6.35
225,Tara,RU,2023-01-28 22:28:23,56.8944,74.371,16.81,96,100,6.49
226,Lerwick,GB,2023-01-28 22:29:25,60.1545,-1.1494,46.4,82,100,25.68
227,Tala,EG,2023-01-28 22:29:25,30.6803,30.9429,51.55,86,91,6.78
228,Prince Rupert,CA,2023-01-28 22:29:26,54.3161,-130.3201,46.09,41,0,20.71
229,Paamiut,GL,2023-01-28 22:29:27,61.994,-49.6678,15.6,76,100,9.17
230,Flinders,AU,2023-01-28 22:29:27,-34.5833,150.8552,81.05,84,81,5.01
231,Sao Jose Da Coroa Grande,BR,2023-01-28 22:29:28,-8.8978,-35.1478,78.96,71,2,9.62
232,Vastseliina,EE,2023-01-28 22:29:29,57.7303,27.2932,25.0,91,99,11.14
233,Coxim,BR,2023-01-28 22:29:29,-18.5067,-54.76,77.07,87,77,4.32
234,Nassjo,SE,2023-01-28 22:29:30,57.6531,14.6968,34.72,94,99,9.1
235,Kudahuvadhoo,MV,2023-01-28 22:29:31,2.6708,72.8944,80.58,74,61,10.63
236,Butaritari,KI,2023-01-28 22:29:31,3.0707,172.7902,80.96,80,97,25.08
237,Mabaruma,GY,2023-01-28 22:29:32,8.2,-59.7833,72.64,78,40,4.43
238,Alekseyevsk,RU,2023-01-28 22:29:33,57.8406,108.3492,10.15,96,100,5.48
239,Jiuquan,CN,2023-01-28 22:29:34,39.7432,98.5174,14.85,53,97,3.49
240,Kavieng,PG,2023-01-28 22:27:43,-2.5744,150.7967,83.26,72,81,9.1
241,Sunrise Manor,US,2023-01-28 22:29:35,36.2111,-115.0731,60.24,30,0,5.75
242,Fort Nelson,CA,2023-01-28 22:29:36,58.8053,-122.7002,9.95,59,0,1.01
243,Zaysan,KZ,2023-01-28 22:29:38,47.4667,84.8667,-5.17,85,17,2.82
244,Beringovskiy,RU,2023-01-28 22:29:38,63.05,179.3167,15.46,97,22,5.88
245,Veraval,IN,2023-01-28 22:29:38,20.9,70.3667,68.02,65,0,11.39
246,Dandong,CN,2023-01-28 22:24:43,40.1292,124.3947,9.63,87,78,2.8
247,Vila Velha,BR,2023-01-28 22:29:39,-20.3297,-40.2925,80.55,90,40,12.66
248,Pancesti,RO,2023-01-28 22:29:40,46.3333,27.0833,32.04,84,100,16.13
249,Weihe,CN,2023-01-28 22:29:40,32.9952,105.3247,31.15,35,0,0.83
250,Taksimo,RU,2023-01-28 22:29:41,56.3444,114.8794,-3.12,93,100,2.73
251,Daru,PG,2023-01-28 22:29:41,-9.0763,143.2092,80.01,80,94,4.5
252,Belfort,FR,2023-01-28 22:29:42,47.6333,6.8667,32.5,95,49,7.34
253,Laizhou,CN,2023-01-28 22:29:42,37.1717,119.9214,25.11,39,0,7.96
254,Dingle,PH,2023-01-28 22:29:42,10.9995,122.6711,73.45,90,99,11.97
255,Warwick,US,2023-01-28 22:28:08,41.7001,-71.4162,48.33,48,75,9.22
256,Hauterive,FR,2023-01-28 22:29:43,46.0901,3.4459,36.36,94,75,5.91
257,Tual,ID,2023-01-28 22:29:43,-5.6667,132.75,81.41,75,91,5.91
258,Ayan,RU,2023-01-28 22:29:43,56.45,138.1667,-15.05,84,70,4.97
259,Lodja,CD,2023-01-28 22:29:44,-3.4833,23.4333,69.94,98,100,1.99
260,Okolona,US,2023-01-28 22:29:44,38.1412,-85.6877,56.12,36,75,12.66
261,Durban,ZA,2023-01-28 22:29:44,-29.8579,31.0292,76.12,76,99,7.0
262,Orumiyeh,IR,2023-01-28 22:29:45,37.5527,45.0761,26.15,74,100,9.22
263,Boyolangu,ID,2023-01-28 22:29:45,-8.1181,111.8935,73.99,96,100,1.45
264,Ust-Tsilma,RU,2023-01-28 22:29:45,65.441,52.1498,22.55,95,100,8.23
265,Ribeira Grande,PT,2023-01-28 22:29:46,38.5167,-28.7,57.78,79,10,13.0
266,Vasterhaninge,SE,2023-01-28 22:29:46,59.1167,18.1,32.85,94,100,7.14
267,Narsaq,GL,2023-01-28 22:29:46,60.9167,-46.05,19.62,71,18,17.6
268,Moroni,KM,2023-01-28 22:29:47,-11.7022,43.2551,78.73,81,52,9.13
269,Kanigiri,IN,2023-01-28 22:29:47,15.4,79.5167,65.82,89,0,0.78
270,Bethel,US,2023-01-28 22:29:47,41.3712,-73.414,47.75,51,0,3.44
271,Dzhebariki-Khaya,RU,2023-01-28 22:29:48,62.2167,135.8,-53.72,100,77,1.01
272,Turukhansk,RU,2023-01-28 22:29:48,65.8167,87.9833,11.16,95,100,7.78
273,Ende,ID,2023-01-28 22:30:48,-8.8432,121.6623,79.68,87,100,4.5
274,Seymchan,RU,2023-01-28 22:30:48,62.8833,152.4333,-34.73,99,88,1.66
275,Cotui,DO,2023-01-28 22:30:05,19.0527,-70.1494,75.7,86,49,4.63
276,Nago,JP,2023-01-28 22:30:49,26.5881,127.9761,52.65,68,99,11.21
277,Ancud,CL,2023-01-28 22:30:49,-41.8697,-73.8203,63.25,82,14,6.26
278,Yalta,UA,2023-01-28 22:30:50,44.5,34.1667,45.32,90,100,12.28
279,Vershino-Darasunskiy,RU,2023-01-28 22:30:50,52.35,115.5167,-13.79,95,24,4.63
280,Salatrucu,RO,2023-01-28 22:30:50,45.3333,24.5167,23.23,92,100,5.53
281,Vilhena,BR,2023-01-28 22:30:50,-12.7406,-60.1458,71.82,94,75,5.75
282,Kirsanov,RU,2023-01-28 22:30:51,52.6549,42.7224,12.09,94,53,4.03
283,Choma,ZM,2023-01-28 22:30:51,-16.8065,26.9531,62.28,97,88,4.38
284,Nioki,CD,2023-01-28 22:30:51,-2.7167,17.6833,73.02,80,81,3.02
285,Ngunguru,NZ,2023-01-28 22:30:52,-35.6167,174.5,71.98,84,100,10.38
286,La Paz,BO,2023-01-28 22:28:04,-16.5,-68.15,57.18,58,75,9.22
287,Santa Cruz De La Palma,ES,2023-01-28 22:30:52,28.6835,-17.7642,60.94,72,75,11.5
288,Souillac,MU,2023-01-28 22:30:52,-20.5167,57.5167,75.58,94,75,3.44
289,Lasa,IT,2023-01-28 22:30:53,46.6166,10.7002,29.28,82,56,4.14
290,Chase,CA,2023-01-28 22:30:53,50.8165,-119.6857,34.68,81,95,4.61
291,Kenai,US,2023-01-28 22:30:53,60.5544,-151.2583,33.1,76,40,0.0
